-33 2327 -33 2336
a1879 2378 0 8 16
a1877 2387 0 14 16
a1878 2402 0 14 16
a1875 1344 16 6 16
a1876 1351 16 14 16
a1873 1366 16 14 16
a1874 1381 16 6 16
a1871 1388 16 6 16
a1872 1395 16 6 16
a1870 1402 16 6 16
a1868 1409 16 26 16
a1869 1436 16 8 16
a1866 1445 16 6 16
a1867 1452 16 2 16
a1864 1455 16 8 16
a1865 1464 16 8 16
a1862 1473 16 4 16
a1863 1478 16 6 16
a1860 1485 16 2 16
a1861 1488 16 12 16
a11609 1501 16 16 16
a11608 1518 16 18 16
a11607 1537 16 12 16
a11606 1550 16 14 16
a11605 1565 16 8 16
a11604 1574 16 4 16
a11603 1579 16 12 16
a11602 1592 16 18 16
a11601 1611 16 8 16
a11600 1620 16 14 16
a11619 1635 16 8 16
a11618 1644 16 2 16
a11617 1647 16 2 16
a11616 1650 16 12 16
a11615 1663 16 12 16
a11614 1676 16 6 16
a11613 1683 16 24 16
a11612 1708 16 24 16
a11611 1733 16 6 16
a11610 1740 16 8 16
a1817 1749 16 16 16
a1818 1766 16 8 16
a1815 1775 16 6 16
a1816 1782 16 6 16
a1813 1789 16 8 16
a1814 1798 16 16 16
a1811 1815 16 4 16
a1812 1820 16 16 16
a1810 1837 16 28 16
a10319 1866 16 6 16
a10318 1873 16 8 16
a11649 1882 16 12 16
a10317 1895 16 4 16
a11648 1900 16 2 16
a10316 1903 16 8 16
a11647 1912 16 2 16
a10315 1915 16 4 16
a11646 1920 16 16 16
a10314 1937 16 12 16
a11645 1950 16 2 16
a10313 1953 16 2 16
a11644 1956 16 8 16
a10312 1965 16 16 16
a11643 1982 16 6 16
a10311 1989 16 4 16
a11642 1994 16 12 16
a10310 2007 16 28 16
a11641 2036 16 6 16
a1819 2043 16 24 16
a11640 2068 16 6 16
a1806 2075 16 14 16
a1807 2090 16 24 16
a1804 2115 16 2 16
a1805 2118 16 14 16
a1802 2133 16 4 16
a1803 2138 16 6 16
a1800 2145 16 6 16
a1801 2152 16 8 16
a10329 2161 16 14 16
a10328 2176 16 20 16
a11659 2197 16 8 16
a10327 2206 16 2 16
a11658 2209 16 14 16
a10326 2224 16 6 16
a11657 2231 16 14 16
a10325 2246 16 16 16
a11656 2263 16 12 16
a10324 2276 16 8 16
a11655 2285 16 8 16
a10323 2294 16 2 16
a11654 -33 768 84 96
a10322 2297 16 4 16
a11653 2302 16 8 16
a10321 2311 16 2 16
a11652 2314 16 8 16
a1808 2323 16 6 16
a10320 2330 16 14 16
a11651 2345 16 2 16
a1809 2348 16 2 16
a11650 2351 16 12 16
a11629 2364 16 6 16
a11628 2371 16 14 16
a11627 2386 16 14 16
a11626 2401 16 16 16
a11625 2418 16 6 16
a11624 1344 32 14 16
a11623 1359 32 26 16
a11622 1386 32 26 16
a11621 1413 32 14 16
a11620 1428 32 8 16
a10309 1437 32 2 16
a10308 1440 32 8 16
a11639 1449 32 10 16
a10307 1460 32 14 16
a11638 1475 32 8 16
a10306 1484 32 24 16
a11637 1509 32 14 16
a10305 1524 32 8 16
a11636 1533 32 14 16
a10304 1548 32 6 16
a11635 1555 32 14 16
a10303 1570 32 14 16
a11634 1585 32 6 16
a10302 1592 32 10 16
a11633 1603 32 12 16
a10301 1616 32 4 16
a11632 1621 32 20 16
a10300 1642 32 4 16
a11631 1647 32 10 16
a11630 1658 32 8 16
a10351 1667 32 16 16
a11682 1684 32 14 16
a10350 1699 32 12 16
a11681 1712 32 12 16
a1859 1725 32 2 16
a11680 1728 32 14 16
a1857 1743 32 14 16
a1858 1758 32 2 16
a1855 1761 32 8 16
a1856 1770 32 2 16
a1853 1773 32 2 16
a1854 1776 32 6 16
a1851 1783 32 14 16
a1852 1798 32 2 16
a1850 1801 32 14 16
a10359 1816 32 14 16
a10358 1831 32 2 16
a11689 1834 32 42 16
a10357 1877 32 6 16
a11688 -33 864 84 96
a10356 1884 32 14 16
a11687 1899 32 4 16
a10355 1904 32 4 16
a11686 1909 32 16 16
a10354 1926 32 2 16
a11685 1929 32 14 16
a10353 1944 32 42 16
a11684 1987 32 2 16
a10352 1990 32 18 16
a11683 2009 32 8 16
a10362 2018 32 4 16
a11693 2023 32 28 16
a10361 2052 32 20 16
a11692 2073 32 4 16
a1848 2078 32 2 16
a10360 2081 32 26 16
a11691 2108 32 6 16
a1849 2115 32 2 16
a11690 2118 32 4 16
a1846 2123 32 6 16
a1847 2130 32 14 16
a1844 -33 960 84 96
a1845 2145 32 12 16
a1842 2158 32 4 16
a1843 2163 32 8 16
a1840 2172 32 8 16
a1841 2181 32 8 16
a10369 2190 32 14 16
a10368 2205 32 8 16
a11699 2214 32 8 16
a10367 2223 32 8 16
a11698 2232 32 6 16
a10366 -33 1056 84 96
a11697 2239 32 8 16
a10365 2248 32 8 16
a11696 2257 32 14 16
a10364 2272 32 14 16
a11695 2287 32 14 16
a10363 2302 32 14 16
a11694 2317 32 4 16
a1839 2322 32 12 16
a11660 2335 32 8 16
a1837 2344 32 4 16
a1838 2349 32 8 16
a1835 2358 32 2 16
a1836 2361 32 6 16
a1833 2368 32 14 16
a1834 2383 32 14 16
a1831 2398 32 12 16
a1832 2411 32 8 16
a1830 1344 48 28 16
a10339 1373 48 8 16
a10338 1382 48 4 16
a11669 1387 48 4 16
a10337 1392 48 6 16
a11668 1399 48 4 16
a10336 1404 48 14 16
a11667 1419 48 8 16
a10335 1428 48 2 16
a11666 1431 48 14 16
a10334 1446 48 14 16
a11665 1461 48 14 16
a10333 1476 48 4 16
a11664 1481 48 8 16
a10332 1490 48 14 16
a11663 1505 48 14 16
a10331 1520 48 16 16
a11662 1537 48 2 16
a10330 1540 48 2 16
a11661 1543 48 6 16
a1828 1550 48 2 16
a10340 1553 48 8 16
a11671 1562 48 26 16
a1829 -33 1152 84 96
a11670 1589 48 14 16
a1826 1604 48 16 16
a1827 1621 48 16 16
a1824 1638 48 10 16
a1825 1649 48 16 16
a1822 1666 48 8 16
a1823 1675 48 8 16
a1820 1684 48 4 16
a1821 1689 48 4 16
a10349 1694 48 8 16
a10348 1703 48 8 16
a11679 1712 48 6 16
a10347 1719 48 4 16
a11678 1724 48 4 16
a10346 1729 48 6 16
a11677 -33 1248 84 96
a10345 1736 48 4 16
a11676 1741 48 8 16
a10344 1750 48 6 16
a11675 1757 48 28 16
a10343 1786 48 8 16
a11674 1795 48 8 16
a10342 1804 48 14 16
a11673 1819 48 8 16
a10341 1828 48 20 16
a11672 1849 48 8 16
a10395 1858 48 6 16
a10394 1865 48 14 16
a10393 1880 48 14 16
a10392 1895 48 6 16
a10391 1902 48 6 16
a10390 1909 48 8 16
a10399 1918 48 42 16
a10398 1961 48 6 16
a10397 1968 48 14 16
a10396 1983 48 42 16
a10373 2026 48 14 16
a10372 2041 48 8 16
a10371 2050 48 20 16
a10370 2071 48 4 16
a10379 2076 48 8 16
a10378 2085 48 6 16
a10377 2092 48 6 16
a10376 2099 48 24 16
a10375 2124 48 6 16
a10374 2131 48 2 16
a10384 2134 48 6 16
a10383 2141 48 6 16
a10382 2148 48 16 16
a10381 2165 48 6 16
a10380 2172 48 2 16
a10389 2175 48 8 16
a10388 2184 48 6 16
a10387 2191 48 14 16
a10386 2206 48 42 16
a10385 2249 48 14 16
a1778 2264 48 2 16
a1779 2267 48 6 16
a1776 2274 48 18 16
a1777 2293 48 8 16
a1774 2302 48 14 16
a1775 2317 48 6 16
a1772 2324 48 14 16
a1773 2339 48 16 16
a1770 2356 48 16 16
a1771 2373 48 4 16
a1780 2378 48 2 16
a1769 2381 48 14 16
a1767 2396 48 8 16
a1768 2405 48 4 16
a1765 2410 48 6 16
a1766 1344 64 46 16
a1763 1391 64 6 16
a1764 1398 64 42 16
a1761 1441 64 10 16
a1762 1452 64 2 16
a1760 1455 64 18 16
a1758 1474 64 4 16
a1759 1479 64 8 16
a1756 1488 64 12 16
a1757 1501 64 8 16
a1754 1510 64 16 16
a1755 1527 64 42 16
a1752 1570 64 16 16
a1753 1587 64 14 16
a1750 1602 64 14 16
a1751 1617 64 22 16
a1749 1640 64 16 16
a1747 1657 64 8 16
a1748 1666 64 8 16
a1745 1675 64 8 16
a1746 1684 64 14 16
a1743 1699 64 14 16
a1744 1714 64 14 16
a1741 1729 64 14 16
a1742 1744 64 14 16
a1740 1759 64 14 16
a11729 -33 1344 84 96
a11728 1774 64 10 16
a11727 1785 64 12 16
a11726 1798 64 14 16
a11725 1813 64 24 16
a11724 1838 64 8 16
a11723 1847 64 8 16
a11722 1856 64 18 16
a11721 1875 64 28 16
a11720 1904 64 16 16
a10409 1921 64 14 16
a10408 1936 64 14 16
a11739 1951 64 14 16
a10407 1966 64 8 16
a11738 1975 64 42 16
a10406 2018 64 8 16
a11737 2027 64 6 16
a10405 2034 64 14 16
a11736 2049 64 12 16
a10404 2062 64 8 16
a11735 2071 64 12 16
a10403 2084 64 2 16
a11734 2087 64 12 16
a10402 2100 64 14 16
a11733 2115 64 10 16
a10401 2126 64 14 16
a11732 2141 64 4 16
a10400 2146 64 12 16
a11731 2159 64 8 16
a11730 2168 64 6 16
a1798 2175 64 2 16
a1799 2178 64 12 16
a1796 2191 64 16 16
a1797 2208 64 8 16
a1794 2217 64 14 16
a1795 2232 64 6 16
a1792 2239 64 6 16
a1793 2246 64 14 16
a11709 2261 64 2 16
a11708 2264 64 16 16
a11707 2281 64 6 16
a11706 2288 64 8 16
a11705 2297 64 4 16
a11704 2302 64 14 16
a11703 2317 64 14 16
a11702 2332 64 8 16
a11701 2341 64 6 16
a11700 2348 64 6 16
a1789 2355 64 14 16
a1787 2370 64 2 16
a1788 2373 64 6 16
a1785 2380 64 2 16
a1786 2383 64 8 16
a1783 2392 64 16 16
a1784 2409 64 28 16
a1781 2438 64 2 16
a1782 1344 80 18 16
a1790 1363 80 42 16
a1791 1406 80 2 16
a11719 1409 80 14 16
a11718 1424 80 42 16
a11717 1467 80 4 16
a11716 1472 80 2 16
a11715 1475 80 8 16
a11714 1484 80 4 16
a11713 1489 80 8 16
a11712 1498 80 4 16
a11711 1503 80 14 16
a11710 1518 80 14 16
a10439 1533 80 24 16
a10438 1558 80 8 16
a11769 1567 80 12 16
a10437 1580 80 8 16
a11768 1589 80 8 16
a10436 1598 80 8 16
a11767 1607 80 14 16
a10435 1622 80 2 16
a11766 1625 80 8 16
a10434 1634 80 14 16
a11765 1649 80 24 16
a10433 1674 80 4 16
a11764 1679 80 8 16
a10432 1688 80 4 16
a11763 1693 80 8 16
a10431 1702 80 6 16
a11762 1709 80 10 16
a10430 1720 80 8 16
a11761 1729 80 4 16
a11760 1734 80 14 16
a11770 1749 80 6 16
a10449 1756 80 2 16
a10448 1759 80 8 16
a11779 1768 80 6 16
a10447 1775 80 10 16
a11778 1786 80 6 16
a10446 1793 80 8 16
a11777 1802 80 28 16
a10445 1831 80 2 16
a11776 1834 80 12 16
a10444 1847 80 20 16
a11775 1868 80 16 16
a10443 1885 80 6 16
a11774 1892 80 4 16
a10442 1897 80 2 16
a11773 1900 80 6 16
a10441 1907 80 2 16
a11772 1910 80 10 16
a10440 1921 80 24 16
a11771 1946 80 16 16
a10419 1963 80 4 16
a10418 1968 80 14 16
a11749 1983 80 2 16
a10417 1986 80 6 16
a11748 1993 80 8 16
a10416 2002 80 14 16
a11747 2017 80 14 16
a10415 2032 80 14 16
a11746 2047 80 6 16
a10414 2054 80 16 16
a11745 2071 80 6 16
a10413 2078 80 6 16
a11744 2085 80 4 16
a10412 2090 80 8 16
a11743 2099 80 6 16
a10411 2106 80 8 16
a11742 2115 80 8 16
a10410 2124 80 10 16
a11741 2135 80 14 16
a11740 2150 80 8 16
a10429 2159 80 14 16
a10428 2174 80 6 16
a11759 2181 80 8 16
a10427 2190 80 18 16
a11758 2209 80 14 16
a10426 2224 80 6 16
a11757 2231 80 4 16
a10425 -33 1440 84 96
a11756 2236 80 18 16
a10424 2255 80 4 16
a11755 2260 80 6 16
a10423 2267 80 8 16
a11754 2276 80 4 16
a10422 2281 80 6 16
a11753 2288 80 14 16
a10421 2303 80 14 16
a11752 2318 80 2 16
a10420 2321 80 8 16
a11751 2330 80 14 16
a11750 2345 80 12 16
a10472 2358 80 12 16
a10471 2371 80 14 16
a1738 2386 80 8 16
a10470 2395 80 2 16
a1739 2398 80 16 16
a1736 1344 96 42 16
a1737 1387 96 14 16
a1734 1402 96 8 16
a1735 1411 96 8 16
a1732 1420 96 14 16
a1733 1435 96 6 16
a1730 -33 1536 84 96
a1731 1442 96 8 16
a10479 1451 96 4 16
a10478 1456 96 16 16
a10477 1473 96 4 16
a10476 1478 96 8 16
a10475 1487 96 12 16
a10474 1500 96 6 16
a10473 1507 96 24 16
a1729 1532 96 24 16
a10483 1557 96 6 16
a10482 1564 96 8 16
a1727 1573 96 4 16
a10481 1578 96 8 16
a1728 1587 96 4 16
a10480 1592 96 8 16
a1725 1601 96 8 16
a1726 1610 96 6 16
a1723 1617 96 6 16
a1724 1624 96 6 16
a1721 1631 96 8 16
a1722 1640 96 6 16
a1720 1647 96 12 16
a10489 1660 96 6 16
a10488 1667 96 14 16
a10487 1682 96 8 16
a10486 1691 96 10 16
a10485 1702 96 2 16
a10484 1705 96 16 16
a1718 1722 96 42 16
a10450 1765 96 14 16
a11781 1780 96 42 16
a1719 1823 96 16 16
a11780 1840 96 24 16
a1716 1865 96 14 16
a1717 1880 96 2 16
a1714 1883 96 10 16
a1715 1894 96 6 16
a1712 1901 96 8 16
a1713 1910 96 8 16
a1710 1919 96 6 16
a1711 1926 96 8 16
a10459 1935 96 20 16
a10458 1956 96 6 16
a11789 1963 96 6 16
a10457 1970 96 4 16
a11788 1975 96 4 16
a10456 1980 96 6 16
a11787 1987 96 2 16
a10455 1990 96 6 16
a11786 1997 96 18 16
a10454 2016 96 2 16
a11785 2019 96 14 16
a10453 2034 96 6 16
a11784 2041 96 2 16
a10452 2044 96 4 16
a11783 2049 96 14 16
a10451 2064 96 6 16
a11782 2071 96 4 16
a1707 2076 96 8 16
a10461 -33 1632 84 96
a11792 2085 96 4 16
a1708 2090 96 12 16
a10460 2103 96 12 16
a11791 2116 96 16 16
a1705 2133 96 14 16
a11790 2148 96 12 16
a1706 2161 96 4 16
a1703 2166 96 20 16
a1704 2187 96 2 16
a1701 2190 96 14 16
a1702 2205 96 24 16
a1700 2230 96 2 16
a10469 2233 96 12 16
a10468 2246 96 14 16
a11799 2261 96 6 16
a10467 2268 96 14 16
a11798 2283 96 14 16
a10466 2298 96 8 16
a11797 2307 96 12 16
a10465 2320 96 12 16
a11796 2333 96 6 16
a10464 2340 96 16 16
a11795 2357 96 28 16
a1709 2386 96 14 16
a10463 2401 96 42 16
a11794 2444 96 12 16
a10462 1344 112 6 16
a11793 1351 112 6 16
a10032 1358 112 10 16
a11363 1369 112 8 16
a10031 1378 112 14 16
a11362 1393 112 12 16
a10030 1406 112 6 16
a11361 1413 112 14 16
a11360 1428 112 6 16
a10039 1435 112 12 16
a10038 1448 112 12 16
a11369 1461 112 14 16
a10037 1476 112 6 16
a11368 1483 112 28 16
a10036 1512 112 8 16
a11367 1521 112 8 16
a10035 1530 112 14 16
a11366 1545 112 14 16
a10034 1560 112 8 16
a11365 1569 112 18 16
a10033 1588 112 8 16
a11364 1597 112 2 16
a10043 1600 112 16 16
a11374 1617 112 4 16
a10042 1622 112 6 16
a11373 1629 112 8 16
a10041 1638 112 14 16
a11372 1653 112 14 16
a10040 1668 112 18 16
a11371 1687 112 8 16
a11370 1696 112 16 16
a10049 1713 112 14 16
a10048 1728 112 26 16
a11379 1755 112 14 16
a10047 1770 112 2 16
a11378 1773 112 12 16
a10046 1786 112 24 16
a11377 1811 112 8 16
a10045 1820 112 12 16
a11376 1833 112 6 16
a10044 1840 112 14 16
a11375 1855 112 6 16
a10010 1862 112 12 16
a11341 1875 112 14 16
a11340 1890 112 6 16
a10019 1897 112 14 16
a10018 1912 112 8 16
a11349 1921 112 6 16
a10017 1928 112 8 16
a11348 1937 112 4 16
a10016 -33 1728 84 96
a11347 -33 1824 84 96
a10015 1942 112 6 16
a11346 1949 112 4 16
a10014 1954 112 6 16
a11345 1961 112 16 16
a10013 1978 112 2 16
a11344 1981 112 2 16
a10012 -33 1920 84 96
a11343 1984 112 6 16
a10011 1991 112 4 16
a11342 1996 112 6 16
a10021 2003 112 14 16
a11352 -33 2016 84 96
a10020 2018 112 18 16
a11351 2037 112 8 16
a11350 2046 112 12 16
a10029 2059 112 4 16
a10028 -33 2112 84 96
a11359 2064 112 8 16
a10027 2073 112 8 16
a11358 2082 112 4 16
a10026 2087 112 4 16
a11357 2092 112 14 16
a10025 2107 112 14 16
a11356 2122 112 10 16
a10024 2133 112 6 16
a11355 2140 112 2 16
a10023 2143 112 4 16
a11354 2148 112 8 16
a10022 2157 112 2 16
a11353 2160 112 6 16
a10076 2167 112 2 16
a10075 2170 112 6 16
a10074 2177 112 14 16
a10073 2192 112 8 16
a10072 2201 112 8 16
a10071 2210 112 42 16
a10070 2253 112 12 16
a10079 2266 112 8 16
a10078 2275 112 14 16
a10077 2290 112 8 16
a10087 2299 112 8 16
a10086 2308 112 14 16
a10085 2323 112 2 16
a10084 2326 112 14 16
a10083 2341 112 8 16
a10082 2350 112 10 16
a10081 2361 112 6 16
a10080 2368 112 12 16
a10089 2381 112 8 16
a10088 2390 112 8 16
a10054 2399 112 6 16
a11385 2406 112 8 16
a10053 2415 112 8 16
a11384 1344 128 14 16
a10052 1359 128 6 16
a11383 1366 128 12 16
a10051 1379 128 8 16
a11382 1388 128 14 16
a10050 1403 128 4 16
a11381 1408 128 6 16
a11380 1415 128 4 16
a10059 1420 128 12 16
a10058 1433 128 2 16
a11389 1436 128 6 16
a10057 1443 128 6 16
a11388 1450 128 14 16
a10056 1465 128 14 16
a11387 1480 128 8 16
a10055 1489 128 24 16
a11386 1514 128 14 16
a10065 1529 128 14 16
a11396 1544 128 6 16
a10064 1551 128 4 16
a11395 1556 128 8 16
a10063 1565 128 14 16
a11394 1580 128 14 16
a10062 1595 128 8 16
a11393 1604 128 24 16
a10061 1629 128 8 16
a11392 1638 128 16 16
a10060 1655 128 8 16
a11391 1664 128 8 16
a11390 1673 128 2 16
a10069 1676 128 6 16
a10068 1683 128 18 16
a11399 1702 128 12 16
a10067 1715 128 8 16
a11398 1724 128 14 16
a10066 1739 128 6 16
a11397 1746 128 6 16
a9092 1753 128 16 16
a9091 1770 128 16 16
a9094 1787 128 14 16
a9093 1802 128 12 16
a9096 1815 128 8 16
a9095 1824 128 2 16
a9098 1827 128 8 16
a9097 1836 128 14 16
a9099 1851 128 2 16
a9090 1854 128 2 16
a9081 1857 128 12 16
a10098 1870 128 2 16
a9080 1873 128 16 16
a10097 1890 128 6 16
a9083 1897 128 2 16
a10096 1900 128 42 16
a9082 1943 128 8 16
a10095 1952 128 14 16
a9085 1967 128 8 16
a10094 1976 128 30 16
a9084 2007 128 14 16
a10093 2022 128 6 16
a9087 2029 128 4 16
a10092 2034 128 14 16
a9086 2049 128 14 16
a10091 2064 128 14 16
a9089 2079 128 8 16
a10090 2088 128 2 16
a9088 2091 128 28 16
a10099 2120 128 2 16
a9070 2123 128 12 16
a9072 2136 128 6 16
a9071 2143 128 12 16
a9074 2156 128 14 16
a9073 2171 128 4 16
a9076 2176 128 12 16
a9075 2189 128 2 16
a9078 2192 128 14 16
a9077 2207 128 14 16
a9079 2222 128 2 16
a9140 2225 128 24 16
a9142 2250 128 2 16
a9141 2253 128 16 16
a9144 2270 128 4 16
a9143 2275 128 14 16
a9146 2290 128 4 16
a9145 2295 128 12 16
a9148 2308 128 2 16
a9147 2311 128 12 16
a9149 -33 2208 84 96
a9131 2324 128 34 16
a9130 2359 128 8 16
a9133 2368 128 6 16
a9132 2375 128 2 16
a9135 2378 128 6 16
a9134 2385 128 42 16
a9137 1344 144 16 16
a9136 1361 144 14 16
a9139 1376 144 6 16
a9138 1383 144 4 16
a9129 1388 144 8 16
a9120 1397 144 2 16
a9122 1400 144 4 16
a9121 1405 144 8 16
a9124 1414 144 14 16
a9123 1429 144 14 16
a9126 1444 144 18 16
a9125 1463 144 14 16
a9128 1478 144 14 16
a9127 1493 144 2 16
a9119 1496 144 42 16
a9118 1539 144 6 16
a9111 1546 144 14 16
a9110 1561 144 2 16
a9113 1564 144 6 16
a9112 1571 144 16 16
a9115 1588 144 16 16
a9114 1605 144 8 16
a9117 1614 144 2 16
a9116 1617 144 8 16
a9108 1626 144 14 16
a9107 1641 144 6 16
a9109 1648 144 14 16
a9180 1663 144 8 16
a9182 1672 144 8 16
a9181 1681 144 20 16
a9184 1702 144 8 16
a9183 1711 144 6 16
a9186 1718 144 14 16
a9185 1733 144 8 16
a9188 1742 144 14 16
a9187 1757 144 4 16
a9189 1762 144 8 16
a9171 1771 144 6 16
a9170 1778 144 16 16
a9173 1795 144 12 16
a9172 1808 144 6 16
a9175 1815 144 2 16
a9174 494 0 84 96
a9177 1818 144 16 16
a9176 1835 144 14 16
a9179 1850 144 24 16
a9178 1875 144 6 16
a9160 1882 144 14 16
a9162 1897 144 14 16
a9161 1912 144 8 16
a9164 1921 144 4 16
a9163 494 96 84 96
a9166 1926 144 8 16
a9165 1935 144 4 16
a9168 1940 144 14 16
a9167 494 192 84 96
a9169 1955 144 6 16
a9151 1962 144 42 16
a9150 2005 144 8 16
a9153 2014 144 2 16
a9152 2017 144 2 16
a9155 2020 144 16 16
a9154 2037 144 6 16
a9157 2044 144 16 16
a9156 2061 144 14 16
a9159 2076 144 2 16
a9158 2079 144 12 16
a11409 2092 144 14 16
a11408 2107 144 8 16
a11407 2116 144 8 16
a11406 2125 144 2 16
a11405 2128 144 6 16
a11404 2135 144 12 16
a11403 2148 144 14 16
a11402 2163 144 14 16
a11401 2178 144 8 16
a11400 2187 144 2 16
a11419 2190 144 6 16
a11418 2197 144 6 16
a11417 2204 144 6 16
a11416 2211 144 6 16
a11415 2218 144 8 16
a11414 2227 144 8 16
a11413 2236 144 20 16
a11412 2257 144 6 16
a11411 2264 144 2 16
a11410 2267 144 42 16
a11440 2310 144 2 16
a9100 2313 144 6 16
a9102 2320 144 16 16
a9101 2337 144 8 16
a9104 2346 144 6 16
a9103 2353 144 6 16
a9106 2360 144 6 16
a9105 2367 144 10 16
a10119 2378 144 2 16
a10118 2381 144 4 16
a11449 2386 144 2 16
a10117 2389 144 12 16
a11448 2402 144 8 16
a10116 2411 144 6 16
a11447 2418 144 8 16
a10115 2427 144 10 16
a11446 1344 160 14 16
a10114 1359 160 18 16
a11445 1378 160 6 16
a10113 1385 160 2 16
a11444 1388 160 12 16
a10112 1401 160 8 16
a11443 1410 160 6 16
a10111 1417 160 6 16
a11442 1424 160 26 16
a10110 1451 160 6 16
a11441 1458 160 6 16
a10120 1465 160 8 16
a11451 1474 160 12 16
a11450 1487 160 8 16
a10129 1496 160 6 16
a10128 1503 160 14 16
a11459 1518 160 6 16
a10127 1525 160 4 16
a11458 1530 160 12 16
a10126 1543 160 16 16
a11457 1560 160 14 16
a10125 1575 160 16 16
a11456 1592 160 6 16
a10124 1599 160 4 16
a11455 1604 160 12 16
a10123 1617 160 6 16
a11454 1624 160 2 16
a10122 1627 160 8 16
a11453 1636 160 12 16
a10121 1649 160 8 16
a11452 1658 160 24 16
a11429 1683 160 12 16
a11428 1696 160 6 16
a11427 1703 160 6 16
a11426 1710 160 14 16
a11425 1725 160 16 16
a11424 1742 160 18 16
a11423 1761 160 6 16
a11422 1768 160 8 16
a11421 494 288 84 96
a11420 1777 160 4 16
a0 1782 160 16 16
a1 1799 160 14 16
a2 1814 160 8 16
a3 1823 160 6 16
a4 1830 160 6 16
a5 1837 160 8 16
a6 1846 160 8 16
a10109 1855 160 2 16
a7 1858 160 8 16
a10108 1867 160 6 16
a11439 1874 160 14 16
a8 1889 160 8 16
a10107 1898 160 10 16
a11438 1909 160 2 16
a9 1912 160 12 16
a10106 1925 160 6 16
a11437 1932 160 16 16
a10105 1949 160 2 16
a11436 1952 160 4 16
a10104 1957 160 12 16
a11435 494 384 84 96
a10103 1970 160 8 16
a11434 1979 160 14 16
a10102 1994 160 6 16
a11433 2001 160 12 16
a10101 2014 160 14 16
a11432 2029 160 6 16
a10100 2036 160 16 16
a11431 2053 160 16 16
a11430 2070 160 14 16
a10153 2085 160 28 16
a11484 2114 160 18 16
a10152 2133 160 12 16
a11483 2146 160 6 16
a10151 2153 160 2 16
a11482 2156 160 14 16
a10150 2171 160 18 16
a11481 2190 160 6 16
a11480 2197 160 12 16
a10159 2210 160 14 16
a10158 2225 160 12 16
a11489 2238 160 8 16
a10157 2247 160 4 16
a11488 2252 160 2 16
a10156 2255 160 8 16
a11487 2264 160 6 16
a10155 2271 160 8 16
a11486 2280 160 20 16
a10154 2301 160 8 16
a11485 2310 160 4 16
a10164 2315 160 2 16
a11495 2318 160 6 16
a10163 2325 160 4 16
a11494 2330 160 8 16
a10162 2339 160 4 16
a11493 2344 160 6 16
a10161 2351 160 12 16
a11492 2364 160 8 16
a10160 2373 160 12 16
a11491 2386 160 2 16
a11490 2389 160 14 16
a10169 2404 160 2 16
a10168 2407 160 8 16
a11499 2416 160 2 16
a10167 2419 160 4 16
a11498 1344 176 24 16
a10166 1369 176 6 16
a11497 1376 176 6 16
a10165 1383 176 8 16
a11496 1392 176 6 16
a10131 1399 176 6 16
a11462 1406 176 6 16
a10130 1413 176 10 16
a11461 1424 176 8 16
a11460 1433 176 6 16
